"";"cmpt";"qtd_contratos";"tot_prov_cen1"
"1";2018-01-01;799551;2950870153,9
"2";2018-07-01;799551;3641179971,6
"3";2019-01-01;799551;4224901526,4
"4";2019-07-01;799551;5314500008,3
"5";2020-01-01;799551;6234318934,6
"6";2020-07-01;799551;8445222325,3
"7";2021-01-01;799551;9842967943,3
"8";2021-07-01;799551;12029534568,1
"9";2022-01-01;799551;12812918746,3
"10";2022-07-01;799551;15333759406,1
"11";2023-01-01;799551;16664934742,7
"12";2023-07-01;799551;19319029074
"13";2024-01-01;799551;20576915864,7
"14";2024-07-01;799551;21113699738,2
"15";2025-01-01;799551;21468391124,8
"16";2025-07-01;799551;21847096002,1
"17";2026-01-01;799551;22044326089,4
"18";2026-07-01;799551;22368767088,8
"19";2027-01-01;799551;22702479657,4
"20";2027-07-01;799551;23098483497,2
"21";2028-01-01;799551;23281343620
"22";2028-07-01;799551;23599936975
"23";2029-01-01;799551;23881974730,8
"24";2029-07-01;799551;24328245988,3
"25";2030-01-01;799551;24441129559,9
"26";2030-07-01;799551;24730002382,6
